Album,Capa,Ano,Artista,Nota
Destiny,//e.snmc.io/i/600/s/88a9055be34fc6c86e4f1cf48eb4aded/11254776/dj-sabrina-the-teenage-dj-destiny-Cover-Art.jpg,2023,DJ Sabrina the Teenage DJ, 3.88
ↀ,//e.snmc.io/i/600/s/7ed58b8a30612effe9cd57d3c112c785/11238633/triples-lovelution-ↀ-Cover-Art.png,2023,tripleS, 3.67
Double Trio,//e.snmc.io/i/600/s/dd1638f4e7a5aa1d8963e215d26a1758/11191549/by-storm-injury-reserve-double-trio-Cover-Art.jpg,2023,By Storm, 4.18
AE_Live 2022－,,2023,Autechre, 4.30
The Death of Randy Fitzsimmons,,2023,The Hives, 3.45
Radio Red,,2023,Laura Groves, 3.27
Blonde,,2016,Frank Ocean, 4.09
Loud City Song,,2013,Julia Holter, 3.74
Kind of Blue,,1959,Miles Davis, 4.23
Bossanova,,1990,Pixies, 3.68
Knees,,2021,Injury Reserve, 4.14
Sundial,,2023,Noname, 3.08
Get Up,,2023,NewJeans, 3.52
Soft Landing,,2023,Art School Girlfriend, 3.40
