Album,Artista,Data,Nota,Descrição
Fountain Baby,Amaarae,"June 9, 2023",95,The second full-length release from American-Ghanian singer Amaarae features executive production with KZDidIt and Kyu Steed.
"Desire, I Want To Turn into You",Caroline Polachek,"February 14, 2023",94,The second full-length solo release for Caroline Polachek features guest appearances from Dido and Grimes.
Chrome Dreams,Neil Young,"August 11, 2023",92,"The official release for Neil Young's ""lost"" album that was originally set to be released in 1977 features two previously unreleased tracks (the rest have been included in other albums/collections)."
The Greater Wings,Julie Byrne,"July 7, 2023",91,The first full-length release from Julie Byrne since 2017's Not Even Happiness was recorded with the late Eric Littmann and completed with producer Alex Somers.
the record,boygenius,"March 31, 2023",90,The debut full-length release for indie rock supergroup boygenius was co-produced with Catherine Marks and mixed by Mike Mogis.
Maps,billy woods,"May 5, 2023",90,"The second full-length collaboration from Brooklyn rapper billy woods and producer Kenny Segal features guest appearances by Aesop Rock, Benjamin Booker, Danny Brown, ELUCID, Sam Herring, and ShrapKnel."
That! Feels Good!,Jessie Ware,"April 28, 2023",89,The fifth full-length studio release from British pop singer-songwriter Jessie Ware was produced by Stuart Price.
Rat Saw God,Wednesday,"April 7, 2023",89,The latest full-length release from North Carolina's Wednesday was produced by Alex Farrar and was recorded in a week.
False Lankum,Lankum,"March 24, 2023",89,"The latest full-length release from Irish experimental folk band False Lankum was produced by John ""Spud"" Murphy."
Sundial,Noname,"August 11, 2023",89,"The latest full-length release from rapper Noname features gest appearances by $Ilkmoney, Ayoni, Common, Jay Electronica, Eryn Allen Kane, Jimetta Rose, Stout, Voices of Creation, and billy woods."
I Am Not There Anymore,The Clientele,"July 28, 2023",89,"The latest full-length release from British indie-pop band The Clientele was recorded in London from 2019-2022, in part because of the COVID-19 pandemic."
The Complete Dirty South,Drive-By Truckers,"June 16, 2023",88,"The expansion of the 2004 Drive-By Truckers album The Dirty South features three songs cut from the original release, four remixes, and two tracks with new vocals."
Wait Til I Get Over,Durand Jones,"May 5, 2023",88,"The debut full-length solo release from Durand Jones is about his hometown of Hillaryville, Louisiana and features a guest appearance by Skypp."
My Back Was a Bridge for You to Cross,Anohni & the Johnsons,"July 7, 2023",87,The first new full-length studio release from Anohni since 2016 solo LP Hopelessness was produced by Jimmy Hogarth.
Everything Harmony,The Lemon Twigs,"May 5, 2023",87,The latest full-length release from New York rock duo The Lemon Twigs was self-produced and mixed.
Heavy Heavy,Young Fathers,"February 3, 2023",86,The fourth full-length release for Edinburgh-based trio Young Fathers was written and recorded over three years.
