bairro,area total
Santo Amaro,193989.75
Parnamirim,8272.26
Santana,6615.60
Soledade,3644.80
Poco,790.71
Pina,6283.52
Sao Jose,10403.42
Monteiro,668.88
Santo Antonio,5963.93
Recife,16147.64
Paissandu,2571.09
Varzea,251.07
Boa Vista,2990.98
San Martin,17528.00
Ilha Do Leite,4014.79
Cordeiro,2603.82
Areias,2603.32
Madalena,29296.47
Iputinga,1432.39
Zumbi,539.11
Curado,68642.33
Macaxeira,2092.48
Morro Da Conceicao,6368.16
Campo Grande,7289.76
Torreao,6458.21
Espinheiro,3928.15
Boa Viagem,8407.36
Ipsep,173.64
Cabanga,4610.98
Jaqueira,224.34
Ilha Do Retiro,197.72
Jardim Sao Paulo,6582.84
Arruda,1101.36
Campina Do Barreto,421.45
Fundao,138.92
Cajueiro,1216.80
Afogados,282.77
Torre,19966.23
